City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
242,lawas,13.764,121.0566,298.76,89,99,2.93,PH,1699742907
243,xining,36.6167,101.7667,270.1,56,44,0.45,CN,1699742908
244,betare oya,5.6,14.0833,294.29,89,100,1.63,CM,1699742908
245,flying fish cove,-10.4217,105.6791,298.97,78,100,4.12,CX,1699742751
246,pangody,65.85,74.4859,273.34,98,100,6.35,RU,1699742908
247,mossel bay,-34.1831,22.146,288.11,73,10,5.93,ZA,1699742908
248,essaouira,31.5125,-9.77,296.87,49,72,3.6,MA,1699742909
249,college,64.8569,-147.8028,264.86,87,75,2.06,US,1699742727
250,sabang,5.8933,95.3214,299.99,79,100,3.39,ID,1699742909
251,baoro,5.6667,15.9667,294.21,92,100,1.3,CF,1699742909
252,tsiombe,-25.3,45.4833,293.46,69,0,5.86,MG,1699742745
253,canutama,-6.5339,-64.3831,303.83,50,77,1.06,BR,1699742909
254,ulanhot,46.0833,122.0833,262.84,65,6,2.57,CN,1699742910
255,bel ombre,-4.6167,55.4167,300.06,83,20,1.54,SC,1699742910
256,selfoss,63.9331,-20.9971,275.4,81,100,4.88,IS,1699742910
257,raja,8.4596,25.678,296.64,84,95,1.37,SS,1699742910
258,san antonio de pale,-1.4014,5.6325,299.34,83,100,4.48,GQ,1699742806
259,khovd,48.0056,91.6419,267.06,98,99,0.64,MN,1699742910
260,inongo,-1.95,18.2667,294.56,98,100,1.39,CD,1699742911
261,egersund,58.4513,5.9997,277.09,79,84,2.56,NO,1699742911
262,voi,-3.3945,38.563,296.06,87,100,2.23,KE,1699742911
263,la ronge,55.1001,-105.2842,275.29,75,75,6.17,CA,1699742911
264,sant'antioco,39.0664,8.4522,290.96,87,74,4.59,IT,1699742911
265,okhotsk,59.3833,143.3,252.6,90,3,9.25,RU,1699742911
266,kenora,49.8167,-94.4337,270.69,86,100,3.6,CA,1699742912
267,antofagasta,-23.65,-70.4,291.75,74,25,4.25,CL,1699742912
268,calamba,14.2117,121.1653,301.5,83,82,4.02,PH,1699742912
269,constitucion,-35.3333,-72.4167,283.91,74,99,4.74,CL,1699742912
270,ngereklmadel,7.4883,134.4856,298.2,94,100,2.57,PW,1699742912
271,mount gambier,-37.8333,140.7667,287.75,50,6,3.99,AU,1699742912
272,melitopol,46.8422,35.3731,287.43,84,100,10.14,UA,1699742913
273,gua musang,4.8823,101.9644,296.52,99,100,0.64,MY,1699742913
274,sittwe,20.15,92.9,295.41,83,5,2.72,MM,1699742913
275,puerto deseado,-47.7503,-65.8938,280.69,81,100,13.87,AR,1699742913
276,yerofey pavlovich,53.9667,121.9667,262.48,66,100,1.83,RU,1699742913
277,kholmsk,47.0511,142.0569,270.23,85,100,1.82,RU,1699742913
278,metlili chaamba,32.2667,3.6333,292.67,32,0,0.0,DZ,1699742914
279,myeik,12.4333,98.6,298.27,89,100,1.48,MM,1699742914
280,gereida,11.2811,25.1414,301.45,38,99,3.34,SD,1699742914
281,tual,-5.6667,132.75,301.03,79,82,4.57,ID,1699742914
282,ola,59.5833,151.2833,255.83,80,24,4.39,RU,1699742914
283,alta,69.9689,23.2717,268.74,85,75,3.6,NO,1699742914
